




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (6765)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to stimulus (GO:0050896)	8671	2395	2667.79	-	.90	2.32E-09	1.32E-07
reproduction (GO:0000003)	1511	396	464.89	-	.85	3.06E-03	4.79E-02
immune response (GO:0006955)	1614	419	496.58	-	.84	1.24E-03	2.25E-02
cell surface receptor signaling pathway (GO:0007166)	1967	507	605.18	-	.84	1.80E-04	4.33E-03
multicellular organismal process (GO:0032501)	7436	1883	2287.82	-	.82	1.78E-20	2.15E-18
ion transport (GO:0006811)	1094	277	336.59	-	.82	2.68E-03	4.31E-02
movement of cell or subcellular component (GO:0006928)	1507	369	463.66	-	.80	3.90E-05	1.11E-03
localization of cell (GO:0051674)	1071	260	329.51	-	.79	3.95E-04	8.47E-03
cell motility (GO:0048870)	1071	260	329.51	-	.79	3.95E-04	8.46E-03
neuron differentiation (GO:0030182)	1103	267	339.36	-	.79	2.54E-04	5.82E-03
behavior (GO:0007610)	710	170	218.44	-	.78	2.46E-03	4.01E-02
response to bacterium (GO:0009617)	896	212	275.67	-	.77	3.95E-04	8.45E-03
cell communication (GO:0007154)	5449	1273	1676.48	-	.76	7.32E-25	1.11E-22
locomotion (GO:0040011)	1285	298	395.35	-	.75	4.06E-06	1.42E-04
signal transduction (GO:0007165)	5016	1159	1543.26	-	.75	4.46E-24	6.57E-22
cell projection morphogenesis (GO:0048858)	512	117	157.53	-	.74	3.17E-03	4.92E-02
signaling (GO:0023052)	5336	1217	1641.72	-	.74	6.27E-28	1.18E-25
plasma membrane bounded cell projection morphogenesis (GO:0120039)	506	115	155.68	-	.74	2.57E-03	4.16E-02
regulation of hormone levels (GO:0010817)	559	127	171.99	-	.74	1.42E-03	2.50E-02
neuron projection morphogenesis (GO:0048812)	500	112	153.83	-	.73	1.73E-03	2.96E-02
regulation of system process (GO:0044057)	640	143	196.91	-	.73	3.29E-04	7.26E-03
animal organ morphogenesis (GO:0009887)	1046	233	321.82	-	.72	3.14E-06	1.13E-04
embryonic organ development (GO:0048568)	513	114	157.83	-	.72	1.19E-03	2.17E-02
metal ion transport (GO:0030001)	589	130	181.22	-	.72	4.26E-04	9.02E-03
cell-cell signaling (GO:0007267)	848	181	260.90	-	.69	2.78E-06	1.00E-04
visual system development (GO:0150063)	393	83	120.91	-	.69	1.29E-03	2.30E-02
eye development (GO:0001654)	390	82	119.99	-	.68	1.22E-03	2.22E-02
sensory organ development (GO:0007423)	610	128	187.68	-	.68	4.18E-05	1.17E-03
sensory system development (GO:0048880)	397	83	122.14	-	.68	9.16E-04	1.76E-02
regionalization (GO:0003002)	359	75	110.45	-	.68	1.68E-03	2.89E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	357	74	109.84	-	.67	1.34E-03	2.39E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	464	95	142.76	-	.67	1.87E-04	4.47E-03
embryonic organ morphogenesis (GO:0048562)	329	67	101.22	-	.66	1.53E-03	2.67E-02
phagocytosis (GO:0006909)	349	71	107.38	-	.66	9.45E-04	1.80E-02
blood circulation (GO:0008015)	434	88	133.53	-	.66	2.11E-04	4.97E-03
circulatory system process (GO:0003013)	466	94	143.37	-	.66	1.03E-04	2.63E-03
positive regulation of B cell activation (GO:0050871)	273	55	83.99	-	.65	3.16E-03	4.91E-02
cell junction organization (GO:0034330)	520	104	159.99	-	.65	2.58E-05	7.71E-04
leukocyte mediated immunity (GO:0002443)	412	81	126.76	-	.64	1.12E-04	2.83E-03
pattern specification process (GO:0007389)	464	91	142.76	-	.64	4.05E-05	1.14E-03
cell fate commitment (GO:0045165)	266	52	81.84	-	.64	2.16E-03	3.59E-02
ear development (GO:0043583)	246	48	75.69	-	.63	2.90E-03	4.58E-02
cell junction assembly (GO:0034329)	256	49	78.76	-	.62	1.74E-03	2.97E-02
synapse organization (GO:0050808)	312	59	95.99	-	.61	3.40E-04	7.47E-03
axon development (GO:0061564)	401	75	123.37	-	.61	3.26E-05	9.42E-04
lymphocyte mediated immunity (GO:0002449)	353	66	108.61	-	.61	9.69E-05	2.51E-03
inner ear development (GO:0048839)	214	40	65.84	-	.61	2.87E-03	4.54E-02
sensory organ morphogenesis (GO:0090596)	306	57	94.15	-	.61	2.90E-04	6.48E-03
regulation of blood circulation (GO:1903522)	262	48	80.61	-	.60	5.72E-04	1.18E-02
axonogenesis (GO:0007409)	367	67	112.91	-	.59	3.77E-05	1.08E-03
taxis (GO:0042330)	510	93	156.91	-	.59	8.73E-07	3.52E-05
chemotaxis (GO:0006935)	505	92	155.37	-	.59	9.86E-07	3.93E-05
cell-cell adhesion (GO:0098609)	441	80	135.68	-	.59	4.17E-06	1.46E-04
limb development (GO:0060173)	199	36	61.23	-	.59	2.50E-03	4.07E-02
appendage development (GO:0048736)	199	36	61.23	-	.59	2.50E-03	4.07E-02
muscle contraction (GO:0006936)	193	34	59.38	-	.57	1.65E-03	2.84E-02
biological adhesion (GO:0022610)	879	153	270.44	-	.57	2.22E-12	1.70E-10
regulation of blood pressure (GO:0008217)	220	38	67.69	-	.56	6.55E-04	1.32E-02
regulation of heart contraction (GO:0008016)	193	33	59.38	-	.56	1.18E-03	2.16E-02
cell adhesion (GO:0007155)	869	148	267.36	-	.55	6.60E-13	5.17E-11
synaptic signaling (GO:0099536)	418	71	128.61	-	.55	8.74E-07	3.52E-05
branching morphogenesis of an epithelial tube (GO:0048754)	165	28	50.77	-	.55	2.74E-03	4.39E-02
import into cell (GO:0098657)	177	30	54.46	-	.55	1.69E-03	2.91E-02
morphogenesis of a branching structure (GO:0001763)	208	35	63.99	-	.55	5.92E-04	1.22E-02
cartilage development (GO:0051216)	173	29	53.23	-	.54	1.50E-03	2.63E-02
cellular response to xenobiotic stimulus (GO:0071466)	174	29	53.53	-	.54	1.52E-03	2.65E-02
morphogenesis of a branching epithelium (GO:0061138)	198	33	60.92	-	.54	5.83E-04	1.20E-02
production of molecular mediator of immune response (GO:0002440)	291	48	89.53	-	.54	1.96E-05	6.08E-04
limb morphogenesis (GO:0035108)	171	28	52.61	-	.53	1.04E-03	1.95E-02
appendage morphogenesis (GO:0035107)	171	28	52.61	-	.53	1.04E-03	1.95E-02
ear morphogenesis (GO:0042471)	141	23	43.38	-	.53	3.04E-03	4.78E-02
immunoglobulin production (GO:0002377)	272	44	83.69	-	.53	2.43E-05	7.29E-04
regulation of nervous system process (GO:0031644)	188	30	57.84	-	.52	3.97E-04	8.48E-03
B cell mediated immunity (GO:0019724)	292	45	89.84	-	.50	3.90E-06	1.37E-04
chemical synaptic transmission (GO:0007268)	358	55	110.15	-	.50	2.28E-07	9.92E-06
anterograde trans-synaptic signaling (GO:0098916)	358	55	110.15	-	.50	2.28E-07	9.89E-06
trans-synaptic signaling (GO:0099537)	378	58	116.30	-	.50	1.01E-07	4.64E-06
Unclassified (UNCLASSIFIED)	1302	196	400.58	-	.49	3.51E-25	5.43E-23
hormone metabolic process (GO:0042445)	174	26	53.53	-	.49	2.92E-04	6.51E-03
immunoglobulin mediated immune response (GO:0016064)	288	43	88.61	-	.49	1.70E-06	6.42E-05
positive regulation of cell junction assembly (GO:1901890)	124	18	38.15	-	.47	1.45E-03	2.54E-02
cilium-dependent cell motility (GO:0060285)	145	21	44.61	-	.47	6.27E-04	1.27E-02
cilium or flagellum-dependent cell motility (GO:0001539)	145	21	44.61	-	.47	6.27E-04	1.27E-02
B cell receptor signaling pathway (GO:0050853)	221	32	67.99	-	.47	1.91E-05	5.91E-04
sperm motility (GO:0097722)	132	19	40.61	-	.47	9.97E-04	1.88E-02
retina development in camera-type eye (GO:0060041)	161	23	49.53	-	.46	2.27E-04	5.27E-03
nephron development (GO:0072006)	133	19	40.92	-	.46	7.59E-04	1.50E-02
flagellated sperm motility (GO:0030317)	128	18	39.38	-	.46	8.32E-04	1.62E-02
potassium ion transport (GO:0006813)	165	23	50.77	-	.45	1.31E-04	3.22E-03
unsaturated fatty acid metabolic process (GO:0033559)	122	17	37.54	-	.45	1.23E-03	2.22E-02
microtubule bundle formation (GO:0001578)	124	17	38.15	-	.45	9.28E-04	1.77E-02
inner ear morphogenesis (GO:0042472)	118	16	36.30	-	.44	1.00E-03	1.88E-02
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	96	13	29.54	-	.44	3.09E-03	4.82E-02
extracellular matrix organization (GO:0030198)	275	37	84.61	-	.44	1.95E-07	8.55E-06
extracellular structure organization (GO:0043062)	276	37	84.92	-	.44	1.95E-07	8.53E-06
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	209	28	64.30	-	.44	6.84E-06	2.32E-04
cilium movement (GO:0003341)	187	25	57.53	-	.43	2.04E-05	6.26E-04
external encapsulating structure organization (GO:0045229)	277	37	85.22	-	.43	1.47E-07	6.60E-06
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	135	18	41.54	-	.43	3.61E-04	7.87E-03
digestive system development (GO:0055123)	135	18	41.54	-	.43	3.61E-04	7.86E-03
phenol-containing compound metabolic process (GO:0018958)	98	13	30.15	-	.43	2.31E-03	3.81E-02
cilium movement involved in cell motility (GO:0060294)	136	18	41.84	-	.43	2.67E-04	6.02E-03
defense response to bacterium (GO:0042742)	513	66	157.83	-	.42	9.55E-14	8.05E-12
nerve development (GO:0021675)	88	11	27.07	-	.41	2.75E-03	4.39E-02
axon guidance (GO:0007411)	242	30	74.46	-	.40	1.79E-07	7.93E-06
feeding behavior (GO:0007631)	105	13	32.31	-	.40	7.02E-04	1.40E-02
inorganic ion import across plasma membrane (GO:0099587)	89	11	27.38	-	.40	2.00E-03	3.35E-02
inorganic cation import across plasma membrane (GO:0098659)	89	11	27.38	-	.40	2.00E-03	3.34E-02
neuron projection guidance (GO:0097485)	243	30	74.76	-	.40	1.82E-07	8.05E-06
system process (GO:0003008)	2700	331	830.70	-	.40	2.67E-77	2.10E-74
digestion (GO:0007586)	90	11	27.69	-	.40	2.03E-03	3.39E-02
membrane invagination (GO:0010324)	247	29	75.99	-	.38	4.22E-08	2.03E-06
sensory perception of pain (GO:0019233)	103	12	31.69	-	.38	5.55E-04	1.15E-02
regulation of heart rate (GO:0002027)	112	13	34.46	-	.38	2.81E-04	6.30E-03
sensory perception of light stimulus (GO:0050953)	165	19	50.77	-	.37	6.85E-06	2.31E-04
digestive tract development (GO:0048565)	122	14	37.54	-	.37	1.03E-04	2.62E-03
action potential (GO:0001508)	96	11	29.54	-	.37	8.09E-04	1.58E-02
synapse assembly (GO:0007416)	88	10	27.07	-	.37	1.14E-03	2.10E-02
potassium ion transmembrane transport (GO:0071805)	142	16	43.69	-	.37	1.96E-05	6.07E-04
cellular response to BMP stimulus (GO:0071773)	98	11	30.15	-	.36	5.93E-04	1.22E-02
response to BMP (GO:0071772)	98	11	30.15	-	.36	5.93E-04	1.22E-02
visual perception (GO:0007601)	161	18	49.53	-	.36	5.15E-06	1.77E-04
metanephros development (GO:0001656)	81	9	24.92	-	.36	1.66E-03	2.85E-02
regulation of systemic arterial blood pressure (GO:0003073)	127	14	39.07	-	.36	5.57E-05	1.53E-03
olefinic compound metabolic process (GO:0120254)	146	16	44.92	-	.36	1.04E-05	3.41E-04
photoreceptor cell differentiation (GO:0046530)	73	8	22.46	-	.36	2.36E-03	3.88E-02
plasma membrane invagination (GO:0099024)	240	26	73.84	-	.35	9.68E-09	5.02E-07
antimicrobial humoral response (GO:0019730)	158	17	48.61	-	.35	3.89E-06	1.37E-04
regulation of synapse assembly (GO:0051963)	121	13	37.23	-	.35	5.64E-05	1.55E-03
detection of stimulus (GO:0051606)	280	30	86.15	-	.35	3.58E-10	2.22E-08
sodium ion transport (GO:0006814)	171	18	52.61	-	.34	1.05E-06	4.15E-05
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	124	13	38.15	-	.34	2.93E-05	8.61E-04
detection of abiotic stimulus (GO:0009582)	134	14	41.23	-	.34	1.50E-05	4.74E-04
detection of external stimulus (GO:0009581)	135	14	41.54	-	.34	1.08E-05	3.54E-04
regulation of animal organ morphogenesis (GO:2000027)	128	13	39.38	-	.33	1.51E-05	4.76E-04
embryonic pattern specification (GO:0009880)	80	8	24.61	-	.33	9.05E-04	1.74E-02
neural retina development (GO:0003407)	70	7	21.54	-	.33	1.75E-03	2.98E-02
cell recognition (GO:0008037)	330	33	101.53	-	.33	9.59E-13	7.45E-11
phagocytosis, engulfment (GO:0006911)	231	22	71.07	-	.31	9.59E-10	5.77E-08
defense response to Gram-negative bacterium (GO:0050829)	128	12	39.38	-	.30	5.42E-06	1.86E-04
nervous system process (GO:0050877)	2161	202	664.87	-	.30	1.52E-86	1.41E-83
neuron fate commitment (GO:0048663)	75	7	23.08	-	.30	6.18E-04	1.26E-02
cell fate specification (GO:0001708)	86	8	26.46	-	.30	2.21E-04	5.18E-03
retina morphogenesis in camera-type eye (GO:0060042)	76	7	23.38	-	.30	6.28E-04	1.27E-02
xenobiotic metabolic process (GO:0006805)	120	11	36.92	-	.30	1.06E-05	3.49E-04
arachidonic acid metabolic process (GO:0019369)	78	7	24.00	-	.29	4.45E-04	9.40E-03
axoneme assembly (GO:0035082)	91	8	28.00	-	.29	1.13E-04	2.84E-03
sensory perception of taste (GO:0050909)	71	6	21.84	-	.27	6.24E-04	1.27E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	193	16	59.38	-	.27	2.05E-09	1.18E-07
photoreceptor cell development (GO:0042461)	61	5	18.77	-	.27	1.18E-03	2.16E-02
humoral immune response (GO:0006959)	431	35	132.60	-	.26	5.77E-20	6.64E-18
detection of chemical stimulus (GO:0009593)	128	10	39.38	-	.25	8.51E-07	3.44E-05
sodium ion transmembrane transport (GO:0035725)	92	7	28.31	-	.25	2.41E-05	7.26E-04
positive regulation of synapse assembly (GO:0051965)	80	6	24.61	-	.24	9.89E-05	2.55E-03
multicellular organismal signaling (GO:0035637)	120	9	36.92	-	.24	1.07E-06	4.25E-05
cardiac conduction (GO:0061337)	54	4	16.61	-	.24	1.62E-03	2.80E-02
smooth muscle contraction (GO:0006939)	56	4	17.23	-	.23	1.12E-03	2.06E-02
transmission of nerve impulse (GO:0019226)	71	5	21.84	-	.23	1.90E-04	4.54E-03
detection of stimulus involved in sensory perception (GO:0050906)	179	11	55.07	-	.20	7.72E-11	5.11E-09
sensory perception of bitter taste (GO:0050913)	51	3	15.69	-	.19	6.47E-04	1.30E-02
antibacterial humoral response (GO:0019731)	94	5	28.92	-	.17	1.14E-06	4.50E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1823	94	560.88	-	.17	4.67E-116	7.36E-113
eye photoreceptor cell development (GO:0042462)	41	2	12.61	-	.16	1.77E-03	3.01E-02
sensory perception (GO:0007600)	1649	80	507.34	-	.16	3.28E-108	4.31E-105
peptide cross-linking (GO:0018149)	42	2	12.92	-	.15	1.16E-03	2.12E-02
neuropeptide signaling pathway (GO:0007218)	89	4	27.38	-	.15	8.77E-07	3.52E-05
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	48	2	14.77	-	.14	3.31E-04	7.29E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	220	9	67.69	-	.13	3.38E-16	3.29E-14
phagocytosis, recognition (GO:0006910)	203	8	62.46	-	.13	2.66E-15	2.48E-13
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	52	2	16.00	-	.13	1.45E-04	3.53E-03
mucosal immune response (GO:0002385)	79	3	24.31	-	.12	1.34E-06	5.17E-05
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	110	4	33.84	-	.12	5.65E-09	3.05E-07
organ or tissue specific immune response (GO:0002251)	83	3	25.54	-	.12	5.83E-07	2.43E-05
complement activation (GO:0006956)	231	8	71.07	-	.11	4.95E-18	5.23E-16
complement activation, classical pathway (GO:0006958)	216	7	66.46	-	.11	2.41E-17	2.53E-15
innervation (GO:0060384)	31	1	9.54	-	.10	3.02E-03	4.75E-02
cell communication involved in cardiac conduction (GO:0086065)	33	1	10.15	-	.10	1.95E-03	3.28E-02
regulation of heart rate by cardiac conduction (GO:0086091)	37	1	11.38	-	.09	8.15E-04	1.59E-02
membrane disruption in other organism (GO:0051673)	44	1	13.54	-	.07	1.38E-04	3.38E-03
detection of chemical stimulus involved in sensory perception (GO:0050907)	96	2	29.54	-	.07	2.66E-09	1.50E-07
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	50	1	15.38	-	.07	3.78E-05	1.08E-03
innate immune response in mucosa (GO:0002227)	67	1	20.61	-	.05	4.04E-07	1.72E-05
sensory perception of chemical stimulus (GO:0007606)	1224	13	376.59	-	.03	3.28E-124	6.47E-121
response to pheromone (GO:0019236)	104	1	32.00	-	.03	2.86E-11	2.04E-09
sensory perception of smell (GO:0007608)	1124	6	345.82	-	.02	8.83E-123	1.55E-119
epoxygenase P450 pathway (GO:0019373)	36	0	11.08	-	 < 0.01	9.81E-05	2.53E-03
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	29	0	8.92	-	 < 0.01	6.52E-04	1.31E-02
synaptic membrane adhesion (GO:0099560)	28	0	8.61	-	 < 0.01	1.11E-03	2.04E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	34	0	10.46	-	 < 0.01	1.57E-04	3.81E-03
